Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
29	:	1766378410.466	   587.465	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19213.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19213.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19213.wgs.stdout 2>&1
30	:	1766378536.123	   553.230	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19226.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19226.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19226.wgs.stdout 2>&1
31	:	1766378997.939	   536.143	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19239.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19239.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19239.wgs.stdout 2>&1
32	:	1766379089.359	   588.111	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19789.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19789.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19789.wgs.stdout 2>&1
33	:	1766379534.088	   506.845	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19819.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19819.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19819.wgs.stdout 2>&1
34	:	1766379677.476	   553.881	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19908.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19908.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19908.wgs.stdout 2>&1
35	:	1766380040.939	   481.557	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19917.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19917.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19917.wgs.stdout 2>&1
36	:	1766380231.364	   544.616	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA19920.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA19920.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA19920.wgs.stdout 2>&1
37	:	1766380522.502	   529.585	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA20296.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA20296.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA20296.wgs.stdout 2>&1
38	:	1766380775.989	   576.491	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA20509.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA20509.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA20509.wgs.stdout 2>&1
39	:	1766381052.094	   530.408	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/wgs/NA21781.wgs.cram -g all -p wgs -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results/NA21781.wgs.txt    > /home/pouria/opt/src/aldy/runs/logs/NA21781.wgs.stdout 2>&1
