task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
436	ea/2ab508	431020	save_vcfs (NA19789.wgs)	COMPLETED	0	2025-12-25 12:08:05.529	6.5s	0ms	104.1%	0	0	47.2 KB	8.4 KB
437	a3/8b7f9a	431021	get_core_var (NA19789.wgs)	COMPLETED	0	2025-12-25 12:08:05.537	6.8s	0ms	25.4%	1.5 MB	7.4 MB	109.3 KB	51.9 KB
438	7a/e8c0ca	431455	save_vcfs (HG00276.wgs)	COMPLETED	0	2025-12-25 12:08:07.124	5.2s	0ms	89.9%	0	0	46.8 KB	7.6 KB
439	81/94cbc8	431493	get_core_var (HG00276.wgs)	COMPLETED	0	2025-12-25 12:08:07.128	5.2s	0ms	28.0%	1.5 MB	7.4 MB	105.1 KB	48.9 KB
441	62/8f1312	432598	format_snvs (16)	COMPLETED	0	2025-12-25 12:08:08.141	4.2s	0ms	41.6%	1.5 MB	7.4 MB	181.8 KB	73.8 KB
440	cc/b83c21	432577	format_snvs (15)	COMPLETED	0	2025-12-25 12:08:08.136	7.8s	0ms	54.5%	1.5 MB	7.4 MB	181.3 KB	74.8 KB
78	a9/35d1e1	432553	get_depth (22)	COMPLETED	0	2025-12-25 12:08:08.132	7.9s	0ms	117.9%	1.7 MB	7.1 MB	4.6 MB	1.4 KB
208	b3/ffe5dc	433078	get_depth (47)	COMPLETED	0	2025-12-25 12:08:10.937	6.6s	0ms	88.6%	1.5 MB	7.1 MB	5.1 MB	1.4 KB
443	af/d1b7da	433083	analyse_1 (NA07000.wgs)	COMPLETED	0	2025-12-25 12:08:10.942	6.6s	0ms	34.2%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
185	ad/4cc31e	433210	call_sv_del (40)	COMPLETED	0	2025-12-25 12:08:10.996	6.6s	2s	98.3%	33.1 MB	45.1 MB	4.2 MB	14.5 KB
444	0e/4e87f2	433212	analyse_1 (NA07055.wgs)	COMPLETED	0	2025-12-25 12:08:11.000	6.5s	0ms	59.9%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
159	7b/06d726	432505	call_snvs1 (25)	COMPLETED	0	2025-12-25 12:08:08.117	9.5s	1s	517.8%	19.9 MB	1.7 GB	4.2 MB	329.4 KB
336	5e/175341	432513	call_snvs1 (62)	COMPLETED	0	2025-12-25 12:08:08.122	9.5s	1s	505.4%	1.9 MB	8 MB	3.9 MB	290.3 KB
338	2f/3826f4	432530	call_snvs2 (65)	COMPLETED	0	2025-12-25 12:08:08.127	9.5s	1s	574.4%	20.7 MB	1.7 GB	4.2 MB	347.3 KB
215	6d/4955a7	433072	call_sv_dup (51)	COMPLETED	0	2025-12-25 12:08:10.923	6.7s	2s	97.9%	33.4 MB	44.5 MB	5 MB	15.7 KB
228	c8/59ecc7	433073	call_sv_dup (54)	COMPLETED	0	2025-12-25 12:08:10.928	6.8s	3s	99.2%	33.6 MB	45 MB	4.8 MB	15.7 KB
165	90/795354	433075	call_sv_del (35)	COMPLETED	0	2025-12-25 12:08:10.933	6.8s	3s	98.2%	33.4 MB	45.5 MB	4.8 MB	14.4 KB
446	09/86f44f	437397	analyse_3 (NA19789.wgs)	COMPLETED	0	2025-12-25 12:08:12.365	5.4s	0ms	30.2%	1.5 MB	7.4 MB	64.4 KB	1.5 KB
442	ac/58ade3	437414	format_snvs (17)	COMPLETED	0	2025-12-25 12:08:12.369	5.4s	0ms	36.8%	1.5 MB	7.4 MB	181.3 KB	74.9 KB
447	77/aa6694	437441	analyse_3 (HG00276.wgs)	COMPLETED	0	2025-12-25 12:08:12.372	5.4s	0ms	45.7%	1.5 MB	7.4 MB	62.3 KB	1.4 KB
449	71/593608	437450	save_vcfs (NA18868.wgs)	COMPLETED	0	2025-12-25 12:08:12.375	5.4s	0ms	56.0%	0	0	47.2 KB	8.3 KB
448	0f/f00c23	437455	get_core_var (NA18868.wgs)	COMPLETED	0	2025-12-25 12:08:12.378	8.5s	0ms	32.2%	1.5 MB	7.4 MB	107.7 KB	50.7 KB
234	fc/45ce7a	437370	call_snvs2 (38)	COMPLETED	0	2025-12-25 12:08:12.343	13.5s	1s	368.3%	1 MB	7.9 MB	3.8 MB	271.3 KB
450	cf/2022ec	439728	save_vcfs (NA19908.wgs)	COMPLETED	0	2025-12-25 12:08:15.907	10s	0ms	181.1%	0	0	47.2 KB	8.4 KB
451	ae/1bc041	439734	get_core_var (NA19908.wgs)	COMPLETED	0	2025-12-25 12:08:15.914	10s	0ms	29.9%	1.5 MB	7.4 MB	109.3 KB	51.9 KB
66	b0/693e9e	439839	get_depth (18)	COMPLETED	0	2025-12-25 12:08:15.998	9.9s	1s	92.8%	1.5 MB	7.1 MB	5.6 MB	1.4 KB
445	b9/a8195c	439727	format_snvs (18)	COMPLETED	0	2025-12-25 12:08:15.900	10.1s	0ms	41.5%	1.5 MB	7.4 MB	180 KB	73.4 KB
