task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
388	37/4ef2e6	2050143	analyse_1 (NA18855.wgs)	COMPLETED	0	2025-12-25 13:24:42.555	4.2s	0ms	52.4%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
394	8a/19bb9a	2051839	get_core_var (NA18518.wgs)	COMPLETED	0	2025-12-25 13:24:43.781	3s	0ms	34.4%	1.7 MB	7.6 MB	155.8 KB	68.2 KB
280	06/689fa2	2050092	get_depth (56)	COMPLETED	0	2025-12-25 13:24:42.534	4.3s	1s	98.3%	1.5 MB	7.1 MB	8.4 MB	1.6 KB
348	3c/8ec66a	2050122	call_snvs1 (68)	COMPLETED	0	2025-12-25 13:24:42.548	4.7s	1s	428.1%	1.2 MB	8 MB	3.5 MB	332.5 KB
200	bf/162545	2050133	call_snvs1 (33)	COMPLETED	0	2025-12-25 13:24:42.552	8.4s	1s	439.0%	1 MB	7.9 MB	3.6 MB	256 KB
397	47/93d383	2052215	get_core_var (NA18509.wgs)	COMPLETED	0	2025-12-25 13:24:43.884	12.1s	1s	34.1%	1.5 MB	7.4 MB	150.4 KB	65 KB
324	5c/fd1edb	2050102	call_sv_dup (70)	COMPLETED	0	2025-12-25 13:24:42.541	13.4s	3s	99.0%	32.3 MB	44.5 MB	5.1 MB	15.6 KB
156	0a/a59a1c	2055597	call_snvs2 (39)	COMPLETED	0	2025-12-25 13:24:44.735	11.2s	1s	404.2%	1.2 MB	8 MB	3.7 MB	295 KB
398	2a/f45580	2057119	format_snvs (9)	COMPLETED	0	2025-12-25 13:24:45.997	10s	0ms	48.1%	1.5 MB	7.4 MB	223.7 KB	107.1 KB
401	71/d805ff	2057123	save_vcfs (NA18966.wgs)	COMPLETED	0	2025-12-25 13:24:46.001	10s	0ms	100.3%	0	0	48.2 KB	10.3 KB
59	3f/438cc0	2050068	call_sv_del (13)	COMPLETED	0	2025-12-25 13:24:42.520	13.6s	3s	99.1%	33.1 MB	45.2 MB	4.6 MB	14.4 KB
214	79/7967cf	2050114	call_sv_dup (48)	COMPLETED	0	2025-12-25 13:24:42.545	13.5s	3s	99.6%	32.6 MB	44.7 MB	4.8 MB	15.8 KB
258	a6/8bf6d8	2051779	call_sv_del (43)	COMPLETED	0	2025-12-25 13:24:43.747	12.3s	2s	100.4%	32.8 MB	44.7 MB	4.9 MB	14.4 KB
172	8b/a21ccb	2052012	get_depth (34)	COMPLETED	0	2025-12-25 13:24:43.835	12.2s	1s	96.8%	1.5 MB	7.1 MB	9.1 MB	1.6 KB
390	9d/e99999	2052166	format_snvs (8)	COMPLETED	0	2025-12-25 13:24:43.873	12.2s	1s	34.5%	1.5 MB	7.4 MB	223.4 KB	107 KB
