Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
30	:	1766383892.921	     0.516	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17102.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17102.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17102.10x.short.stdout 2>&1
31	:	1766383893.163	     0.513	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17204.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17204.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17204.10x.short.stdout 2>&1
32	:	1766383893.443	     0.432	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17227.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17227.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17227.10x.short.stdout 2>&1
33	:	1766383893.682	     0.516	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17234.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17234.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17234.10x.short.stdout 2>&1
34	:	1766383893.882	     0.495	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17235.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17235.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17235.10x.short.stdout 2>&1
35	:	1766383894.204	     0.506	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17244.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17244.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17244.10x.short.stdout 2>&1
36	:	1766383894.383	     0.465	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17448.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17448.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17448.10x.short.stdout 2>&1
37	:	1766383894.715	     0.342	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17454.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17454.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17454.10x.short.stdout 2>&1
38	:	1766383894.853	     0.538	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17641.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17641.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17641.10x.short.stdout 2>&1
39	:	1766383895.062	     0.499	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17642.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17642.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17642.10x.short.stdout 2>&1
40	:	1766383895.396	     0.443	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17657.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17657.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17657.10x.short.stdout 2>&1
41	:	1766383895.567	     0.480	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17658.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17658.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17658.10x.short.stdout 2>&1
42	:	1766383895.844	     0.438	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17660.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17660.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17660.10x.short.stdout 2>&1
43	:	1766383896.053	     0.565	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17673.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17673.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17673.10x.short.stdout 2>&1
44	:	1766383896.289	     0.483	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17679.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17679.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17679.10x.short.stdout 2>&1
45	:	1766383896.622	     0.526	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA17702.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA17702.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA17702.10x.short.stdout 2>&1
46	:	1766383896.777	     0.483	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18484.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18484.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18484.10x.short.stdout 2>&1
47	:	1766383897.154	     0.476	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18509.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18509.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18509.10x.short.stdout 2>&1
48	:	1766383897.267	     0.453	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18518.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18518.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18518.10x.short.stdout 2>&1
50	:	1766383897.726	     0.361	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18524.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18524.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18524.10x.short.stdout 2>&1
